plaza;estrato;metodo;sexo;edad;estudios;paso_sufragara;paso_votaria;p5o;p6;paso_importa;pondedad;pondestudios;pondedadestudios;pondestrato;pondedadestudiosestrato;pondestudios2;pondedadestudiosestratoestudios2;pondedad2;pondedadestudiosestratoestudios2edad2;pondsexo;pondedadestudiosestratoestudios2edad2sexo;PROBABILIDAD_VOTO_PASO;IMPORTANCIA_PASO
Alto Verde;9;Presencial;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;1.22650294224848;1.268985726735861;1.41205764831843;1.7918810010442938;0.978716238768085;1.7537430336620623;1.00796058633095;1.7677038564838312;1.02399045775466;1.8101118811755559;Probable;Importante
Pampa Blanca;9;Presencial;Masculino;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03070018050542;0.840537014502872;0.8663416525695969;1.41205764831843;1.2233243565677274;1.02565145013214;1.2547044002956569;1.02833431789509;1.2902555936380025;1.02399045775466;1.3212094159498886;Probable;Importante
Pampa Blanca;9;Presencial;Femenino;18 a 29;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03070018050542;0.979268073305836;1.0093317799195198;1.41205764831843;1.4252346595262122;1.00269534323067;1.4290761561178824;1.02833431789509;1.4695680542216198;0.978831577726991;1.4384596170909325;Probable;Importante
Pampa Blanca;9;Presencial;Femenino;18 a 29;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03070018050542;0.979268073305836;1.0093317799195198;1.41205764831843;1.4252346595262122;1.00269534323067;1.4290761561178824;1.02833431789509;1.4695680542216198;0.978831577726991;1.4384596170909325;Probable;Importante
Pampa Blanca;9;Presencial;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;0.941521349862259;0.979268073305836;0.9220017982559243;1.41205764831843;1.3019196909906239;1.00269534323067;1.3054288114166115;0.968864316292147;1.2647833928412253;0.978831577726991;1.2380099238976732;Probable;Importante
Pampa Blanca;9;Presencial;Femenino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03463732782369;0.979268073305836;1.0131873025882034;1.41205764831843;1.430678879798792;1.00269534323067;1.4345350504327201;1.00796058633095;1.4459547905464634;0.978831577726991;1.4153462089524955;Probable;Importante
Pampa Blanca;9;Presencial;Femenino;18 a 29;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03070018050542;0.979268073305836;1.0093317799195198;1.41205764831843;1.4252346595262122;1.00269534323067;1.4290761561178824;1.02833431789509;1.4695680542216198;0.978831577726991;1.4384596170909325;Probable;Importante
Pampa Blanca;9;Presencial;Femenino;30 a 49;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;0.979268073305836;1.0131873025882034;1.41205764831843;1.430678879798792;1.00269534323067;1.4345350504327201;1.00796058633095;1.4459547905464634;0.978831577726991;1.4153462089524955;Probable;Importante
Media Agua;9;Presencial;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03463732782369;1.22650294224848;1.268985726735861;1.41205764831843;1.7918810010442938;0.978716238768085;1.7537430336620623;1.00796058633095;1.7677038564838312;1.02399045775466;1.8101118811755559;Probable;Importante
Media Agua;9;Presencial;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Algo probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;2;Nada importante;1.03463732782369;1.22650294224848;1.268985726735861;1.41205764831843;1.7918810010442938;0.978716238768085;1.7537430336620623;1.00796058633095;1.7677038564838312;1.02399045775466;1.8101118811755559;Probable;No importante
