metodo;plaza;estrato;sexo;edad;estudios;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;pondedad;pondestudios;pondedadestudios;pondestrato;pondedadestudiosestrato;pondestudios2;pondedadestudiosestratoestudios2;pondedad2;pondedadestudiosestratoestudios2edad2;pondsexo;pondedadestudiosestratoestudios2edad2sexo;pondvotant;pondedadestudiosestratoestudios2edad2sexovotant;pondestrato2;pondedadestudiosestratoestudios2edad2sexovotantestrato2;pondedad3;pondedadestudiosestratoestudios2edad2sexovotantestrato2edad3;imagen_massa;imagen_milei;imagen_bulrich;imagen_kicillof;imagen_piparo;imagen_grindetti
Presencial;San Fernando;Primera;2 - Mujer;Más de 50;1 - Nivel Primario, ya sea completo o incompleto;2 - Algo positiva;4 - Muy negativa;4 - Muy negativa;2 - Algo positiva;Sergio Massa de Unidos por la patria;Sergio Massa de Unión por la Patria;Patricia Bullrich de Juntos por el Cambio;Sergio Massa de Union por la Patria;No vi el debate;Axel Kicillof de Unión por la Patria;3 - Algo negativa;5 - Ns/Nc;SI;No tiene opinión formada;Grabois;0.525664121129009;1.70745517192425;0.8975479223167417;1.02059061761417;0.9160289883755585;0.994940874008987;0.9113946823119463;1.07325861063304;0.9781621904764604;1.07954099546258;1.055966184830816;1.62957013804576;1.720770961586407;1.02689151163158;1.767045093915193;0.997005690313739;1.7617540136744227;1.0;2.0;2.0;1.0;2.0;3.0
Presencial;San Fernando;Primera;2 - Mujer;18 a 29;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;3 - Algo negativa;5 - Ns/Nc;3 - Algo negativa;5 - Ns/Nc;Javier Milei – de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Patricia Bullrich de Juntos por el Cambio;Javier Milei;Carolina Píparo de La Libertad Avanza;5 - Ns/Nc;5 - Ns/Nc;SI;No tiene opinión formada;Javier Milei;1.72940482220138;0.526070473344839;0.9097888134203271;1.02059061761417;0.9285219269871144;0.996126363843845;0.9249251708789544;1.0423058837271;0.9640549476144276;1.07954099546258;1.0407368378283046;1.58246318882505;1.6469277351174778;1.02689151163158;1.691216111462761;0.920987790896472;1.5575893904246099;2.0;3.0;2.0;3.0;3.0;3.0
Presencial;Tigre;Primera;1 - Hombre;30 a 49;1 - Nivel Primario, ya sea completo o incompleto;4 - Muy negativa;1 - Muy positiva;3 - Algo negativa;3 - Algo negativa;Javier Milei – de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Patricia Bullrich de Juntos por el Cambio;Javier Milei;Carolina Píparo de La Libertad Avanza;5 - Ns/Nc;5 - Ns/Nc;SI;SI;Javier Milei;1.88490361692397;1.70745517192425;3.2183884292955574;1.02059061761417;3.284657034777051;0.994940874008987;3.268039541000847;0.916330487738784;2.994604266554938;0.926079915545157;2.773242866262364;1.58246318882505;4.3885547495318615;1.02689151163158;4.506569620624723;1.07373862755802;4.838877879444257;2.0;1.0;2.0;2.0;3.0;3.0
Presencial;San Fernando;Primera;2 - Mujer;18 a 29;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;1 - Muy positiva;2 - Algo positiva;3 - Algo negativa;3 - Algo negativa;No sabe // Está indeciso;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Sergio Massa de Union por la Patria;No vi el debate;No sabe // Está indeciso;5 - Ns/Nc;5 - Ns/Nc;No;No tiene opinión formada;No fuiste a votar;1.72940482220138;0.526070473344839;0.9097888134203271;1.02059061761417;0.9285219269871144;0.996126363843845;0.9249251708789544;1.0423058837271;0.9640549476144276;1.07954099546258;1.0407368378283046;1.04974821868862;1.09251164163389;1.02689151163158;1.1218909311525243;0.920987790896472;1.0332478503089493;1.0;1.0;2.0;2.0;3.0;3.0
Presencial;San Fernando;Primera;2 - Mujer;30 a 49;1 - Nivel Primario, ya sea completo o incompleto;2 - Algo positiva;4 - Muy negativa;4 - Muy negativa;5 - Ns/Nc;Sergio Massa de Unidos por la patria;Sergio Massa de Unión por la Patria;Patricia Bullrich de Juntos por el Cambio;Sergio Massa de Union por la Patria;Sergio Massa;Axel Kicillof de Unión por la Patria;5 - Ns/Nc;5 - Ns/Nc;No;No tiene opinión formada;Sergio Massa;1.88490361692397;1.70745517192425;3.2183884292955574;1.02059061761417;3.284657034777051;0.994940874008987;3.268039541000847;0.916330487738784;2.994604266554938;1.07954099546258;3.232798070933207;0.645247436849384;2.085954669121285;1.02689151163158;2.142049143368909;1.07373862755802;0.49455489749606446;1.0;2.0;2.0;3.0;3.0;3.0
Presencial;Tigre;Primera;1 - Hombre;30 a 49;1 - Nivel Primario, ya sea completo o incompleto;2 - Algo positiva;2 - Algo positiva;4 - Muy negativa;2 - Algo positiva;Sergio Massa de Unidos por la patria;Sergio Massa de Unión por la Patria;Javier Milei de La Libertad Avanza;Sergio Massa de Union por la Patria;Sergio Massa;Axel Kicillof de Unión por la Patria;2 - Algo positiva;5 - Ns/Nc;SI;No;Otro;1.88490361692397;1.70745517192425;3.2183884292955574;1.02059061761417;3.284657034777051;0.994940874008987;3.268039541000847;0.916330487738784;2.994604266554938;0.926079915545157;2.773242866262364;0.585714285714286;1.6243279645250994;1.02689151163158;1.668008598876627;1.07373862755802;0.49455489749606446;1.0;1.0;2.0;1.0;1.0;3.0
Presencial;San Fernando;Primera;1 - Hombre;30 a 49;1 - Nivel Primario, ya sea completo o incompleto;2 - Algo positiva;4 - Muy negativa;4 - Muy negativa;2 - Algo positiva;Sergio Massa de Unidos por la patria;Sergio Massa de Unión por la Patria;En Blanco/ No votaría;Sergio Massa de Union por la Patria;No vi el debate;Axel Kicillof de Unión por la Patria;5 - Ns/Nc;5 - Ns/Nc;SI;No;Sergio Massa;1.88490361692397;1.70745517192425;3.2183884292955574;1.02059061761417;3.284657034777051;0.994940874008987;3.268039541000847;0.916330487738784;2.994604266554938;0.926079915545157;2.773242866262364;0.645247436849384;1.7894278512166293;1.02689151163158;1.8375482710914945;1.07373862755802;1.973046558673394;1.0;2.0;2.0;1.0;3.0;3.0
Presencial;Tigre;Primera;1 - Hombre;18 a 29;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;4 - Muy negativa;3 - Algo negativa;4 - Muy negativa;4 - Muy negativa;Javier Milei – de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;En blanco/ No votaría;Javier Milei;Néstor Grindetti de Juntos;3 - Algo negativa;3 - Algo negativa;SI;SI;Otro;1.72940482220138;0.526070473344839;0.9097888134203271;1.02059061761417;0.9285219269871144;0.996126363843845;0.9249251708789544;1.0423058837271;0.9640549476144276;0.926079915545157;0.8927919244676599;0.585714285714286;0.5229209843310582;1.02689151163158;0.536983120063594;0.920987790896472;0.49455489749606446;2.0;2.0;2.0;2.0;2.0;2.0
Presencial;Tigre;Primera;2 - Mujer;18 a 29;2 - Nivel Secundario, ya sea completo o incompleto;4 - Muy negativa;1 - Muy positiva;3 - Algo negativa;3 - Algo negativa;Javier Milei – de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Patricia Bullrich de Juntos por el Cambio;Javier Milei;No sabe // Está indeciso;4 - Muy negativa;4 - Muy negativa;SI;SI;Javier Milei;1.72940482220138;1.19470966426349;2.066136654507871;1.02059061761417;2.1086796842994633;1.00705495794049;2.1235563307821614;1.0423058837271;2.213395258000179;1.07954099546258;2.389450920173667;1.58246318882505;3.7812181226789714;1.02689151163158;3.882900793806534;0.920987790896472;3.5761042243580374;2.0;1.0;2.0;2.0;2.0;2.0
Presencial;Tigre;Primera;1 - Hombre;18 a 29;2 - Nivel Secundario, ya sea completo o incompleto;2 - Algo positiva;3 - Algo negativa;5 - Ns/Nc;2 - Algo positiva;Juan Schiaretti de  Hacemos por nuestro país;Sergio Massa de Unión por la Patria;En Blanco/ No votaría;Sergio Massa de Union por la Patria;No vi el debate;Axel Kicillof de Unión por la Patria;5 - Ns/Nc;5 - Ns/Nc;SI;SI;No fuiste a votar;1.72940482220138;1.19470966426349;2.066136654507871;1.02059061761417;2.1086796842994633;1.00705495794049;2.1235563307821614;1.0423058837271;2.213395258000179;0.926079915545157;2.0497808935968567;1.04974821868862;2.151753841755268;1.02689151163158;2.2096177552191265;0.920987790896472;2.0350309751048847;1.0;2.0;3.0;1.0;3.0;3.0
