P2;P3a;P4;P4.1;P5;P6;P7;Ponde;Ponde2;Sociodemografico;PondeJdg;SoloJGB;EdadmasJGB;EdadJGB
Masculino;18-29;Nivel Primario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Vanina Biasi o Adaro del FIT;1.7;6.84;2.0;1.7;0.78;2.2;0.78
Masculino;18-29;Nivel Primario, ya sea completo o incompleto;Javier Milei y Victoria Villarruel de La Libertad Avanza;No sabe/ no contesta;En blanco/ No votaría;En blanco/ No votaría;1.8;7.14;2.0;1.7;1.0;2.3;1.0
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;En blanco/ No votaría;En blanco/ No votaría;Otro;Vanina Biasi o Adaro del FIT;0.8;4.41;1.1;0.8;0.78;0.9;0.78
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Javier Milei y Victoria Villarruel de La Libertad Avanza;M Lousteau de JXC;1.1;4.31;1.1;1.3;1.72;1.4;1.72
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;No sabe/ No tiene opinión formada;1.0;4.21;1.1;1.1;1.0;1.0;1.0
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;No sabe / No contesta;No sabe/ no contesta;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Jorge Macri de JXC;0.8;4.41;1.1;0.8;0.87;1.0;0.87
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;Javier Milei y Victoria Villarruel de La Libertad Avanza;Ramiro Marra de la Libertad avanza;Javier Milei y Victoria Villarruel de La Libertad Avanza;Ramiro Marra de LA;1.1;4.61;1.1;1.2;1.32;1.2;1.32
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Jorge Macri de Juntos;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Jorge Macri de JXC;1.1;4.31;1.1;1.0;0.87;1.0;0.87
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;Javier Milei y Victoria Villarruel de La Libertad Avanza;En blanco/ No votaría;Javier Milei y Victoria Villarruel de La Libertad Avanza;En blanco/ No votaría;0.9;4.61;1.1;0.8;1.0;1.0;1.0
Masculino;30-49;Nivel Primario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;No sabe/ no contesta;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;No sabe/ No tiene opinión formada;1.1;4.31;1.1;1.1;1.0;1.0;1.0
