plaza;estrato;Sexo;Edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;LARRETA;MANES;VIDAL;CFK;SCIOLI;MACRI;MASSA;BULLRICH;MILEI;LOUSTEAU;KICILLOF;SANTILLI;zona;weight
Caba;1;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Muy buena;Muy buena;Muy buena;Mala;Mala;Muy buena;Mala;Muy buena;Mala;Muy buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;AMBA;1.2958830000000001
Caba;1;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Ns/Nc;Muy buena;Muy mala;Mala;Muy buena;Muy mala;Muy buena;Mala;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;AMBA;1.2958830000000001
Caba;1;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Buena;Muy mala;Muy mala;Buena;Mala;Muy buena;Buena;Muy buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;AMBA;1.2958830000000001
Caba;1;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Indeciso;Muy buena;Mala;Muy buena;Muy mala;Muy mala;Muy buena;Muy mala;Buena;Muy mala;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;AMBA;1.2958830000000001
Gba;2;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Muy mala;Buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Buena;Buena;Muy mala;Buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.747261
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Buena;Muy buena;Muy mala;Mala;Muy buena;Muy mala;Muy buena;Buena;Buena;Muy mala;Muy buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Algunas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.747261
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Ns/Nc;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Buena;Buena;Muy mala;Buena;Cristian Ritondo por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.679716
Gba;2;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Siga gobernando el peronismo;No sabe // no tiene opinión formada;No sabe/ no tiene opinión formada;Nunca lo votaría;No sabe;No sabe;No sabe;No sabe;No sabe;Seguro lo votaría;Esta indeciso;Indeciso;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Indeciso;Indeciso;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Indeciso;Indeciso;Muy buena;Buena;Muy buena;Muy buena;Muy buena;Buena;Muy buena;Ns/Nc;Ns/Nc;Buena;Muy buena;Buena;Diego Santilli por Juntos;No sabe;Muchas;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;Positiva;AMBA;0.711
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Indeciso;Ninguno de los dos;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Muy buena;Muy buena;Mala;Mala;Muy buena;Mala;Muy buena;Mala;Mala;Mala;Muy buena;Axel Kicillof por el Frente de Todos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;AMBA;0.679716
Gba;2;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;No sabe/ no tiene opinión formada;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Seguro lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Otro candidato;Otro candidato;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Muy buena;Buena;Muy mala;Mala;Buena;Muy mala;Buena;Buena;Muy buena;Muy mala;Buena;José Luis Espert por la Libertad Avanza ;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.747261
