fecha;metodo;region;sexo;edad;estudios;imagen_massa;imagen_villarruel;imagen_macri;imagen_milei;imagen_bulrich;imagen_cfk;imagen_larreta;imagen_lousteau;imagen_jorge_macri;imagen_kicillof;ballotage_votara;general_voto;paso_voto
2023-11-06;IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;Algo positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Algo negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
2023-11-06;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;NS/NC;NS/NC;NS/NC;NS/NC;Sergio Massa;Sergio Massa de Unidos por la patria;NS/NC
