fecha;caso;plaza;geografía;estrato1;estrato1agrup;estrato2;partido_gba;sexo;edad;estudios;imagen_larreta;imagen_macri;imagen_milei;imagen_cfk;imagen_massa;imagen_morales;imagen_bulrich;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p25o;p26;p27;p28;p29;p30;p31;imagen_kicillof;imagen_santilli;imagen_grindetti;imagen_piparo;paso_sufragara;p37;pondedad;pondestudios;pondedadestudios;pondestrato1;pondedadestudiosestrato1;pondestudios2;pondedadestudiosestrato1estudios2;pondedad2;pondedadestudiosestrato1estudios2edad2;pondsexo;pondedadestudiosestrato1estudios2edad2sexo;pondestrato12;pondedadestudiosestrato1estudios2edad2sexoestrato12;IMAGEN_LARRETA;IMAGEN_MACRI;IMAGEN_MILEI;IMAGEN_CFK;IMAGEN_MASSA;IMAGEN_MORALES;IMAGEN_BULLRICH;IMAGEN_KICILLOF;IMAGEN_SANTILLI;IMAGEN_GRINDETTI;IMAGEN_PÍPARO;INTERÉS;PROBABILIDAD_DE_IR_A_VOTAR;VOTO_PARTIDO
2023-07-01;919;Termas R. Hondo;NOA;8;Ciudades Chicas;;;Hombre;30 a 49;Nivel Secundario, ya sea completo o incompleto;Ns/Nc;Muy negativa;Ns/Nc;Muy positiva;Ns/Nc;Ns/Nc;Ns/Nc;3 - Gobierne un partido político nuevo;3 - Nunca lo votaría;3 - Nunca lo votaría;3 - Nunca lo votaría;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;4 - En blanco o no irá a votar;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;Es muy probable que vaya a votar;3 - Poco interesado;1.05417449799197;0.98364126532018;1.03692953707309;2.12558639864696;2.20408332035784;1.00540427420733;2.21599479099686;0.998696387767693;2.21310599308059;1.01849078665879;2.25402806385193;1.00670929845491;2.26915101085805;NS/NC;NEGATIVA;NS/NC;POSITIVA;NS/NC;NS/NC;NS/NC;;;;;NO INTERESADO;PROBABLE;JXC
2023-07-01;934;Termas R. Hondo;NOA;8;Ciudades Chicas;;;Hombre;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Algo positiva;Algo negativa;Muy negativa;Muy negativa;Algo positiva;Muy positiva;2 - Vuelva a gobernar Juntos por el Cambio;2 - Posiblemente lo votaria;3 - Nunca lo votaría;3 - Nunca lo votaría;1 - Seguro lo votaría;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Javier Milei – Victoria Villaruel por La Libertad Avanza;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Economista;;2 - Podría llegar a votarlo;;;;;;;;;;Es muy probable que vaya a votar;1 - Muy interesado;1.00271180904523;0.946902199620489;0.949470017570368;2.12558639864696;2.01818055527066;1.02984047456201;2.07840402079176;0.998297894833141;2.07486635856915;1.01849078665879;2.11323226975095;1.00670929845491;2.12741057575326;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA;POSITIVA;;;;;INTERESADO;PROBABLE;JXC
2023-07-01;1059;Termas R. Hondo;NOA;8;Ciudades Chicas;;;Hombre;Más de 50;Nivel Primario, ya sea completo o incompleto;Algo positiva;Algo positiva;Algo negativa;Muy negativa;Muy negativa;Ns/Nc;Algo positiva;3 - Gobierne un partido político nuevo;4 - No sabe;4 - No sabe;4 - No sabe;4 - No sabe;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;4 - En blanco o no irá a votar;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;Es muy probable que vaya a votar;1 - Muy interesado;0.944133399209486;1.07233112362123;1.01242362882264;2.12558639864696;2.1519938950942;0.972752651427518;2.09335776730872;1.00242436691201;2.09843283461478;1.01849078665879;2.13723450847744;1.00670929845491;2.15157385266295;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;INTERESADO;PROBABLE;JXC
2023-07-01;1081;Cosquín;Centro;8;Ciudades Chicas;;;Hombre;30 a 49;Nivel Primario, ya sea completo o incompleto;Ns/Nc;Algo negativa;Muy negativa;Muy negativa;Muy negativa;Algo positiva;Algo positiva;2 - Vuelva a gobernar Juntos por el Cambio;3 - Nunca lo votaría;3 - Nunca lo votaría;3 - Nunca lo votaría;1 - Seguro lo votaría;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Javier Milei – Victoria Villaruel por La Libertad Avanza;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;Es muy probable que vaya a votar;4- Nada interesado;1.05417449799197;1.07233112362123;1.13042412392458;2.12558639864696;2.40281414251648;0.972752651427518;2.33734382802045;0.998696387767693;2.33429683801513;1.01849078665879;2.37745982284516;1.00670929845491;2.39341091036118;NS/NC;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
2023-07-01;1170;Cosquín;Centro;8;Ciudades Chicas;;;Mujer;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Algo positiva;Ns/Nc;Muy negativa;Algo negativa;Ns/Nc;Algo positiva;3 - Gobierne un partido político nuevo;2 - Posiblemente lo votaria;3 - Nunca lo votaría;3 - Nunca lo votaría;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;4 - En blanco o no irá a votar;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;Es muy probable que vaya a votar;4- Nada interesado;1.05417449799197;0.946902199620489;0.998200150932421;2.12558639864696;2.1217606639493;1.02984047456201;2.18507500906855;0.998696387767693;2.18222651855822;0.983517679752162;2.14625836222602;1.00670929845491;2.16065825013954;POSITIVA;POSITIVA;NS/NC;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
2023-07-01;147;Victoria;Centro;8;Ciudades Chicas;;;Mujer;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Muy negativa;Algo negativa;Algo negativa;Muy negativa;Algo positiva;Muy positiva;3 - Gobierne un partido político nuevo;2 - Posiblemente lo votaria;3 - Nunca lo votaría;3 - Nunca lo votaría;1 - Seguro lo votaría;8 - No sabe / Está indeciso;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;3 - No sabe / Está indeciso;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;Es bastante probable que vaya a votar;1 - Muy interesado;1.00271180904523;0.946902199620489;0.949470017570368;2.12558639864696;2.01818055527066;1.02984047456201;2.07840402079176;0.998297894833141;2.07486635856915;0.983517679752162;2.04066774677575;1.00670929845491;2.05435919573618;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA;POSITIVA;;;;;INTERESADO;PROBABLE;JXC
2023-07-01;732;Victoria;Centro;8;Ciudades Chicas;;;Mujer;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy negativa;Muy negativa;Ns/Nc;Muy negativa;Muy negativa;Ns/Nc;Algo positiva;3 - Gobierne un partido político nuevo;3 - Nunca lo votaría;2 - Posiblemente lo votaria;3 - Nunca lo votaría;1 - Seguro lo votaría;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;6 - Otro;4 - En blanco o no irá a votar;4 - En blanco o no irá a votar;4 - En blanco o no irá a votar;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;3 - Nunca lo votaría;;;;;;;;;;Es muy probable que vaya a votar;3 - Poco interesado;0.944133399209486;1.07233112362123;1.01242362882264;2.12558639864696;2.1519938950942;0.972752651427518;2.09335776730872;1.00242436691201;2.09843283461478;0.983517679752162;2.06384579261608;1.00670929845491;2.07769275000365;NEGATIVA;NEGATIVA;NS/NC;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
2023-07-01;820;Carlos Casares;Interior PBA;8;Ciudades Chicas;6;;Mujer;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Algo negativa;Algo negativa;Algo positiva;Algo negativa;Ns/Nc;Algo positiva;3 - Gobierne un partido político nuevo;2 - Posiblemente lo votaria;3 - Nunca lo votaría;2 - Posiblemente lo votaria;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;5 - Contador;;2 - Podría llegar a votarlo;2 - Diego Santilli por Juntos;2 - Néstor Grindetti por Juntos;2 - Diego Santilli por Juntos;2 - Patricia Bullrich y Néstor Grindetti por Juntos por el Cambio;3 - No, no cortaría boleta.;Algo positiva;Algo positiva;Ns/Nc;Ns/Nc;Es muy probable que vaya a votar;4- Nada interesado;0.944133399209486;0.946902199620489;0.894001992446632;2.12558639864696;1.90027847550784;1.02984047456201;1.95698368701697;1.00242436691201;1.96172813351512;0.983517679752162;1.92939430217933;1.00670929845491;1.94233918438985;POSITIVA;NEGATIVA;NEGATIVA;POSITIVA;NEGATIVA;NS/NC;POSITIVA;POSITIVA;POSITIVA;NS/NC;NS/NC;NO INTERESADO;PROBABLE;JXC
2023-07-01;1027;Media Agua;Cuyo;8;Ciudades Chicas;;;Mujer;30 a 49;Nivel Secundario, ya sea completo o incompleto;Ns/Nc;Algo positiva;Algo positiva;Muy negativa;Algo negativa;Ns/Nc;Algo positiva;2 - Vuelva a gobernar Juntos por el Cambio;2 - Posiblemente lo votaria;2 - Posiblemente lo votaria;3 - Nunca lo votaría;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;3 - Javier Milei – Victoria Villaruel por La Libertad Avanza;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Javier Milei – Victoria Villaruel por La Libertad Avanza;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;5 - Contador;;2 - Podría llegar a votarlo;;;;;;;;;;Es muy probable que vaya a votar;3 - Poco interesado;1.05417449799197;0.98364126532018;1.03692953707309;2.12558639864696;2.20408332035784;1.00540427420733;2.21599479099686;0.998696387767693;2.21310599308059;0.983517679752162;2.17662887136022;1.00670929845491;2.19123252408375;NS/NC;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
2023-07-01;72;Gonzales Moreno;Interior PBA;8;Ciudades Chicas;7;;Mujer;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Muy positiva;Muy negativa;Muy negativa;Algo negativa;Ns/Nc;Muy positiva;2 - Vuelva a gobernar Juntos por el Cambio;2 - Posiblemente lo votaria;3 - Nunca lo votaría;2 - Posiblemente lo votaria;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;2 - Diego Santilli por Juntos;2 - Néstor Grindetti por Juntos;2 - Diego Santilli por Juntos;2 - Patricia Bullrich y Néstor Grindetti por Juntos por el Cambio;1 - Sí, seguramente corte boleta.;Muy negativa;Algo positiva;Ns/Nc;Ns/Nc;Es muy probable que vaya a votar;1 - Muy interesado;1.00271180904523;0.946902199620489;0.949470017570368;2.12558639864696;2.01818055527066;1.02984047456201;2.07840402079176;0.998297894833141;2.07486635856915;0.983517679752162;2.04066774677575;1.00670929845491;2.05435919573618;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;NEGATIVA;POSITIVA;NS/NC;NS/NC;INTERESADO;PROBABLE;JXC
