fecha;metodo;region;sexo;edad;estudios;imagen_massa;imagen_villarruel;imagen_macri;imagen_milei;imagen_bulrich;imagen_cfk;teme;votara_milei;votara_massa;ballotage_votara;P14;P15;general_voto;pondedad;pondestudios;pondedadestudios;pondZonapais;pondedadestudiosZonapais;pondestudios2;pondedadestudiosZonapaisestudios2;pondedad2;pondedadestudiosZonapaisestudios2edad2;pondsexo;pondedadestudiosZonapaisestudios2edad2sexo;pondZonapais2;pondedadestudiosZonapaisestudios2edad2sexoZonapais2;pondvotant;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votant;pondest3;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votantest3;IMAGEN_MASSA;IMAGEN_VILLARRUEL;IMAGEN_MACRI;IMAGEN_MILEI;IMAGEN_BULLRICH;IMAGEN_CFK
2023-11-19;IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país no tendrá muchos cambios respecto de la actualidad;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;1.0061214290132;0.418823580743126;1.00153856484205;0.419467967979479;1.08834275989641;0.456524925958925;0.994776393869599;0.454140219557006;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Algo negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país no tendrá muchos cambios respecto de la actualidad;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;1.0061214290132;0.418823580743126;1.00153856484205;0.419467967979479;1.08834275989641;0.456524925958925;0.994776393869599;0.454140219557006;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;1.21386734889247;0.674232316435038;1.33236398167393;0.898322853698625;1.01894833299725;0.915344574269546;1.02151472734302;0.935037963209868;0.994415194355708;0.929815957915307;1.00153856484205;0.931246540057732;1.08834275989641;1.01351542955042;0.965362198393827;0.978409483176853;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Muy positivo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA
2023-11-19;IVR;Caba;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positivo;Muy negativo;Muy negativo;Muy negativo;Muy negativo;Algo negativo;Que gane Javier Milei;Nunca lo votaría;Seguro lo votaría;Sergio Massa;El país iniciará una etapa de crecimiento económico;El país entrará en una crisis económica, social y política;Sergio Massa de Unidos por la patria;0.55544151265804;0.548705637194426;0.304773889127266;1.33236398167393;0.406069752427853;1.00354176963286;0.407507957945825;1.02151472734302;0.41627538055114;0.994415194355708;0.413950563456258;1.00153856484205;0.414587453239539;1.08834275989641;0.451213253077143;0.994776393869599;0.448856292762251;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA
