metodo;comuna;sexo;edad;educacion;paso_sufragara;caba_paso_votaria;caba_paso_votaria_lousteau;paso_votaria;P9;P10;P11;P12;P13;P14;P15;P16;pon2
CATI;Comuna 01;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Muy Positiva;Algo positiva;Algo positiva;Algo positiva;Seguro lo votaría;Podría llegar a votarlo;Martín Lousteau de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;Javier Milei de Libertad Avanza;0.76072
CATI;Comuna 01;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Negativa;Muy Negativa;Muy Negativa;Muy Negativa;Muy Positiva;Nunca lo votaría;Nunca lo votaría;Leandro Santoro del Frente de Todos/ Unión por la Patria;No, no haría eso;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Muy probable;Leandro Santoro del Frente de Todos;0.8006
CATI;Comuna 01;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Algo positiva;Muy Positiva;Algo positiva;Algo negativa;Seguro lo votaría;Seguro lo votaría;Martín Lousteau de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.76072
CATI;Comuna 01;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Muy Positiva;Algo positiva;Muy Positiva;Muy Negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.8006
CATI;Comuna 01;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Algo positiva;Muy Positiva;Muy Positiva;Muy Negativa;Seguro lo votaría;Podría llegar a votarlo;Martín Lousteau de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.76072
CATI;Comuna 01;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Algo negativa;Algo negativa;Algo positiva;Muy Negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;Javier Milei de Libertad Avanza;0.77296
CATI;Comuna 01;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Algo positiva;Algo positiva;No conoce o no tiene opinión formada;Algo negativa;Seguro lo votaría;No sabe - No tiene opinión formada;Martín Lousteau de Juntos;;Horacio Rodríguez Larreta y Gerardo Morales de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.832
CATI;Comuna 01;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Algo positiva;Algo negativa;Algo positiva;Muy Negativa;Nunca lo votaría;Seguro lo votaría;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.8006
CATI;Comuna 01;Masculino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Negativa;Muy Negativa;Muy Negativa;Muy Negativa;Muy Negativa;Nunca lo votaría;Nunca lo votaría;Vanina Biasi del Frente de Izquierda;Si, haría eso para evitar que Jorge Macri sea electo;Myriam Bregman y Nicolás Del Caño del Frente de Izquierda Unidad;Muy probable;Myriam Bregman del Frente de Izquierda Unidad;0.8454
CATI;Comuna 01;Masculino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Algo positiva;Algo positiva;Algo positiva;Algo negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.8454
CATI;Comuna 01;Masculino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Algo positiva;Muy Positiva;Algo negativa;Algo positiva;Algo negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Horacio Rodríguez Larreta y Gerardo Morales de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.98359
