caso;plaza;geografía;estrato1;estrato1agrup;estrato2;partidogba;sexo;edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p25o;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;pondedad;pondestudios;pondedadestudios;pondestrato1;pondedadestudiosestrato1;pondestudios2;pondedadestudiosestrato1estudios2;pondedad2;pondedadestudiosestrato1estudios2edad2;pondsexo;pondedadestudiosestrato1estudios2edad2sexo;pondestrato12;pondedadestudiosestrato1estudios2edad2sexoestrato12;imagen_larreta;imagen_macri;imagen_milei;imagen_cfk;imagen_massa;imagen_morales;imagen_bullrich;imagen_kicillof;imagen_santilli;imagen_grindetti;imagen_piparo;INTERÉS;PROBABILIDAD_DE_IR_A_VOTAR;VOTO_PARTIDO
919.0;Termas R. Hondo;NOA;8;Ciudades Chicas;;;1 - Hombre;2 - 30 a 49;2 - Nivel Secundario, ya sea completo o incompleto;5 - Ns/Nc;4 - Muy negativa;5 - Ns/Nc;1 - Muy positiva;5 - Ns/Nc;5 - Ns/Nc;5 - Ns/Nc;3 - Gobierne un partido político nuevo;3 - Nunca lo votaría;3 - Nunca lo votaría;3 - Nunca lo votaría;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;4 - En blanco o no irá a votar;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;1 - Es muy probable que vaya a votar;3 - Poco interesado;1.05417449799197;0.98364126532018;1.036929537073087;2.12558639864696;2.2040833203578427;1.00540427420733;2.2159947909968585;0.998696387767693;2.2131059930805863;1.01849078665879;2.254028063851929;1.00670929845491;2.2691510108580544;NS/NC;NEGATIVA;NS/NC;POSITIVA;NS/NC;NS/NC;NS/NC;;;;;NO INTERESADO;PROBABLE;JXC
934.0;Termas R. Hondo;NOA;8;Ciudades Chicas;;;1 - Hombre;1 - 18 a 29;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;2 - Algo positiva;2 - Algo positiva;3 - Algo negativa;4 - Muy negativa;4 - Muy negativa;2 - Algo positiva;1 - Muy positiva;2 - Vuelva a gobernar Juntos por el Cambio;2 - Posiblemente lo votaria;3 - Nunca lo votaría;3 - Nunca lo votaría;1 - Seguro lo votaría;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Javier Milei – Victoria Villaruel por La Libertad Avanza;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Economista;;2 - Podría llegar a votarlo;;;;;;;;;;1 - Es muy probable que vaya a votar;1 - Muy interesado;1.00271180904523;0.946902199620489;0.9494700175703681;2.12558639864696;2.0181805552706646;1.02984047456201;2.078404020791762;0.998297894833141;2.074866358569152;1.01849078665879;2.1132322697509545;1.00670929845491;2.1274105757532604;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA;POSITIVA;;;;;INTERESADO;PROBABLE;JXC
1059.0;Termas R. Hondo;NOA;8;Ciudades Chicas;;;1 - Hombre;3 - Más de 50;1 - Nivel Primario, ya sea completo o incompleto;2 - Algo positiva;2 - Algo positiva;3 - Algo negativa;4 - Muy negativa;4 - Muy negativa;5 - Ns/Nc;2 - Algo positiva;3 - Gobierne un partido político nuevo;4 - No sabe;4 - No sabe;4 - No sabe;4 - No sabe;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;4 - En blanco o no irá a votar;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;1 - Es muy probable que vaya a votar;1 - Muy interesado;0.944133399209486;1.07233112362123;1.0124236288226396;2.12558639864696;2.151993895094201;0.972752651427518;2.0933577673087163;1.00242436691201;2.098432834614779;1.01849078665879;2.137234508477441;1.00670929845491;2.1515738526629486;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;INTERESADO;PROBABLE;JXC
1081.0;Cosquín;Centro;8;Ciudades Chicas;;;1 - Hombre;2 - 30 a 49;1 - Nivel Primario, ya sea completo o incompleto;5 - Ns/Nc;3 - Algo negativa;4 - Muy negativa;4 - Muy negativa;4 - Muy negativa;2 - Algo positiva;2 - Algo positiva;2 - Vuelva a gobernar Juntos por el Cambio;3 - Nunca lo votaría;3 - Nunca lo votaría;3 - Nunca lo votaría;1 - Seguro lo votaría;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Javier Milei – Victoria Villaruel por La Libertad Avanza;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;1 - Es muy probable que vaya a votar;4- Nada interesado;1.05417449799197;1.07233112362123;1.1304241239245754;2.12558639864696;2.402814142516483;0.972752651427518;2.3373438280204466;0.998696387767693;2.3342968380151317;1.01849078665879;2.3774598228451573;1.00670929845491;2.3934109103611827;NS/NC;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
1170.0;Cosquín;Centro;8;Ciudades Chicas;;;2 - Mujer;2 - 30 a 49;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;2 - Algo positiva;2 - Algo positiva;5 - Ns/Nc;4 - Muy negativa;3 - Algo negativa;5 - Ns/Nc;2 - Algo positiva;3 - Gobierne un partido político nuevo;2 - Posiblemente lo votaria;3 - Nunca lo votaría;3 - Nunca lo votaría;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;4 - En blanco o no irá a votar;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;1 - Es muy probable que vaya a votar;4- Nada interesado;1.05417449799197;0.946902199620489;0.9982001509324212;2.12558639864696;2.121760663949297;1.02984047456201;2.1850750090685493;0.998696387767693;2.182226518558219;0.983517679752162;2.1462583622260176;1.00670929845491;2.160658250139538;POSITIVA;POSITIVA;NS/NC;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
147.0;Victoria;Centro;8;Ciudades Chicas;;;2 - Mujer;1 - 18 a 29;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;2 - Algo positiva;4 - Muy negativa;3 - Algo negativa;3 - Algo negativa;4 - Muy negativa;2 - Algo positiva;1 - Muy positiva;3 - Gobierne un partido político nuevo;2 - Posiblemente lo votaria;3 - Nunca lo votaría;3 - Nunca lo votaría;1 - Seguro lo votaría;8 - No sabe / Está indeciso;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;3 - No sabe / Está indeciso;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;;;;;;;;;;2 - Es bastante probable que vaya a votar;1 - Muy interesado;1.00271180904523;0.946902199620489;0.9494700175703681;2.12558639864696;2.0181805552706646;1.02984047456201;2.078404020791762;0.998297894833141;2.074866358569152;0.983517679752162;2.0406677467757497;1.00670929845491;2.054359195736177;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NEGATIVA;POSITIVA;POSITIVA;;;;;INTERESADO;PROBABLE;JXC
732.0;Victoria;Centro;8;Ciudades Chicas;;;2 - Mujer;3 - Más de 50;1 - Nivel Primario, ya sea completo o incompleto;4 - Muy negativa;4 - Muy negativa;5 - Ns/Nc;4 - Muy negativa;4 - Muy negativa;5 - Ns/Nc;2 - Algo positiva;3 - Gobierne un partido político nuevo;3 - Nunca lo votaría;2 - Posiblemente lo votaria;3 - Nunca lo votaría;1 - Seguro lo votaría;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;6 - Otro;4 - En blanco o no irá a votar;4 - En blanco o no irá a votar;4 - En blanco o no irá a votar;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;3 - Nunca lo votaría;;;;;;;;;;1 - Es muy probable que vaya a votar;3 - Poco interesado;0.944133399209486;1.07233112362123;1.0124236288226396;2.12558639864696;2.151993895094201;0.972752651427518;2.0933577673087163;1.00242436691201;2.098432834614779;0.983517679752162;2.0638457926160796;1.00670929845491;2.077692750003651;NEGATIVA;NEGATIVA;NS/NC;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
820.0;Carlos Casares;Interior PBA;8;Ciudades Chicas;6;;2 - Mujer;3 - Más de 50;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;2 - Algo positiva;3 - Algo negativa;3 - Algo negativa;2 - Algo positiva;3 - Algo negativa;5 - Ns/Nc;2 - Algo positiva;3 - Gobierne un partido político nuevo;2 - Posiblemente lo votaria;3 - Nunca lo votaría;2 - Posiblemente lo votaria;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;5 - Contador;;2 - Podría llegar a votarlo;2 - Diego Santilli por Juntos;2 - Néstor Grindetti por Juntos;2 - Diego Santilli por Juntos;2 - Patricia Bullrich y Néstor Grindetti por Juntos por el Cambio;3 - No, no cortaría boleta.;2 - Algo positiva;2 - Algo positiva;5 - Ns/Nc;5 - Ns/Nc;1 - Es muy probable que vaya a votar;4- Nada interesado;0.944133399209486;0.946902199620489;0.8940019924466316;2.12558639864696;1.9002784755078423;1.02984047456201;1.9569836870169692;1.00242436691201;1.9617281335151167;0.983517679752162;1.929394302179327;1.00670929845491;1.9423391843898508;POSITIVA;NEGATIVA;NEGATIVA;POSITIVA;NEGATIVA;NS/NC;POSITIVA;POSITIVA;POSITIVA;NS/NC;NS/NC;NO INTERESADO;PROBABLE;JXC
1027.0;Media Agua;Cuyo;8;Ciudades Chicas;;;2 - Mujer;2 - 30 a 49;2 - Nivel Secundario, ya sea completo o incompleto;5 - Ns/Nc;2 - Algo positiva;2 - Algo positiva;4 - Muy negativa;3 - Algo negativa;5 - Ns/Nc;2 - Algo positiva;2 - Vuelva a gobernar Juntos por el Cambio;2 - Posiblemente lo votaria;2 - Posiblemente lo votaria;3 - Nunca lo votaría;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;3 - Javier Milei – Victoria Villaruel por La Libertad Avanza;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Javier Milei – Victoria Villaruel por La Libertad Avanza;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;5 - Contador;;2 - Podría llegar a votarlo;;;;;;;;;;1 - Es muy probable que vaya a votar;3 - Poco interesado;1.05417449799197;0.98364126532018;1.036929537073087;2.12558639864696;2.2040833203578427;1.00540427420733;2.2159947909968585;0.998696387767693;2.2131059930805863;0.983517679752162;2.1766288713602227;1.00670929845491;2.1912325240837522;NS/NC;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;;;;;NO INTERESADO;PROBABLE;JXC
72.0;Gonzales Moreno;Interior PBA;8;Ciudades Chicas;7;;2 - Mujer;1 - 18 a 29;3 - Nivel Universitario o Terciario, ya sea completo o incompleto;2 - Algo positiva;1 - Muy positiva;4 - Muy negativa;4 - Muy negativa;3 - Algo negativa;5 - Ns/Nc;1 - Muy positiva;2 - Vuelva a gobernar Juntos por el Cambio;2 - Posiblemente lo votaria;3 - Nunca lo votaría;2 - Posiblemente lo votaria;2 - Posiblemente lo votaria;1 - Juntos de Larreta y Bullrich;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;1 - Horacio Rodríguez Larreta – Gerardo Morales de Juntos;2 - Sergio Massa – Agustín Rossi de Unidos por la patria;1 - Patricia Bullrich – Luis Petri de Juntos;1 - Patricia Bullrich – Luis Petri de Juntos;7 - Ns/Nc;;2 - Podría llegar a votarlo;2 - Diego Santilli por Juntos;2 - Néstor Grindetti por Juntos;2 - Diego Santilli por Juntos;2 - Patricia Bullrich y Néstor Grindetti por Juntos por el Cambio;1 - Sí, seguramente corte boleta.;4 - Muy negativa;2 - Algo positiva;5 - Ns/Nc;5 - Ns/Nc;1 - Es muy probable que vaya a votar;1 - Muy interesado;1.00271180904523;0.946902199620489;0.9494700175703681;2.12558639864696;2.0181805552706646;1.02984047456201;2.078404020791762;0.998297894833141;2.074866358569152;0.983517679752162;2.0406677467757497;1.00670929845491;2.054359195736177;POSITIVA;POSITIVA;NEGATIVA;NEGATIVA;NEGATIVA;NS/NC;POSITIVA;NEGATIVA;POSITIVA;NS/NC;NS/NC;INTERESADO;PROBABLE;JXC
