metodo;plaza;region;sexo;edad;educacion;imagen_massa;imagen_milei;teme;votara_milei;votara_massa;ballotage_votara;votara_hoy;p9_p10;combinada;general_voto;weight1;weight2;cr1;cr2;cr3;cr4;cr5;cr6;cr7;cr8;cr9;cr10;cr11
CATI;CABA;Caba;Femenino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;No fué a votar;0.84156;0.08766;Femenino;50 y más;Terciario;Caba;Negativa;Positiva;Massa;Seguro;Nunca;Milei;No fue
CATI;CABA;Caba;Masculino;Mayor de 50;Nivel Secundario, ya sea completo o incompleto;Muy negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Javier Milei de la Libertad Avanza;1.09627;1.47827;Masculino;50 y más;Secundario;Caba;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Milei
CATI;CABA;Caba;Femenino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;0.89032;0.98928;Femenino;30-49;Terciario;Caba;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Bullrich
CATI;CABA;Caba;Masculino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;0.80379;0.86976;Masculino;50 y más;Terciario;Caba;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Bullrich
CATI;CABA;Caba;Masculino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Muy negativa;Que gane Javier Milei;Nunca lo votaría;Podría llegar a votarlo;Sergio Massa;;Sergio Massa;Sergio Massa;Juan Schiaretti de Hacemos por nuestro país;0.80379;0.54053;Masculino;50 y más;Terciario;Caba;Positiva;Negativa;Milei;Nunca;Podría;Massa;Schiaretti
CATI;CABA;Caba;Masculino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Muy positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;0.80379;0.86976;Masculino;50 y más;Terciario;Caba;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Bullrich
CATI;CABA;Caba;Masculino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Muy negativa;Las dos posibilidades me dan el mismo miedo;No sabe/ está indeciso;No sabe/ está indeciso;Está indeciso;Indeciso;Está indeciso;Está indeciso;Juan Schiaretti de Hacemos por nuestro país;0.85035;0.58421;Masculino;30-49;Terciario;Caba;Negativa;Negativa;Massa;;;Indeciso/Blano/No;Schiaretti
CATI;CABA;Caba;Masculino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;0.80379;0.86976;Masculino;50 y más;Terciario;Caba;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Bullrich
CATI;CABA;Caba;Femenino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Muy negativa;Que gane Sergio Massa;Podría llegar a votarlo;Nunca lo votaría;Está indeciso;Indeciso;Está indeciso;Está indeciso;Patricia Bullrich de Juntos por el cambio;0.84156;0.91532;Femenino;50 y más;Terciario;Caba;Negativa;Negativa;Massa;Podría;Nunca;Indeciso/Blano/No;Bullrich
CATI;CABA;Caba;Femenino;Mayor de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy negativa;Algo positiva;Que gane Sergio Massa;Seguro lo votaría;Nunca lo votaría;Javier Milei;;Javier Milei;Javier Milei;Patricia Bullrich de Juntos por el cambio;0.84156;0.91532;Femenino;50 y más;Terciario;Caba;Negativa;Positiva;Massa;Seguro;Nunca;Milei;Bullrich
